client_id,birth_dt,reg_dttm,purchase_id,purchase_dt,purchase_amt
820519,10May1990,"02Jan2019 12:49:39,000",,,
820521,23Mar1970,"02Jan2019 14:14:39,000",,,
820523,01Apr1991,"02Jan2019 19:51:19,000",1204926325,12Feb2019,500
820526,27Apr1985,"02Jan2019 18:09:39,000",,,
820544,03May1991,"03Jan2019 12:24:42,000",,,
820552,01Apr1999,"03Jan2019 18:04:45,000",,,
820561,22Oct1993,"04Jan2019 14:39:43,000",1205778332,13Feb2019,500
820562,17Aug1981,"04Jan2019 13:46:59,000",,,
820588,17Nov1984,"04Jan2019 21:41:25,000",,,
820598,02Dec1980,"05Jan2019 0:54:46,000",,,
820599,01Jan1957,"05Jan2019 22:44:46,000",,,
820601,02Sep1993,"05Jan2019 2:36:24,000",,,
820607,27Sep1970,"05Jan2019 7:54:45,000",1223151881,21Feb2019,5000
820607,27Sep1970,"05Jan2019 7:54:45,000",1243945384,09Mar2019,1500
820628,08Sep2000,"06Jan2019 12:54:53,000",1231401747,27Feb2019,500
820628,08Sep2000,"06Jan2019 12:54:53,000",1261899753,17Mar2019,4000
820635,11Feb1982,"06Jan2019 1:19:46,000",1221670218,20Feb2019,6000
820639,09Jul1968,"06Jan2019 17:19:49,000",,,
820641,06Apr2000,"06Jan2019 18:44:48,000",1178327364,26Jan2019,3000
820650,27Jun1996,"06Jan2019 15:59:48,000",,,
820661,17May1994,"07Jan2019 12:11:31,000",,,
820669,03Sep1969,"07Jan2019 0:31:29,000",,,
820680,01Jun1983,"08Jan2019 8:54:54,000",,,
820700,26Apr1972,"08Jan2019 8:56:38,000",1195263111,06Feb2019,1500
820702,19Jun1971,"08Jan2019 9:11:41,000",1238743359,04Mar2019,500
820710,18Apr1994,"08Jan2019 9:47:39,000",1241359288,05Mar2019,3500
820712,06Mar1979,"08Jan2019 8:56:38,000",,,
820713,27Jul1988,"08Jan2019 16:44:54,000",,,
820715,19Aug1969,"08Jan2019 20:49:52,000",1224415778,22Feb2019,3500
820717,11Jun1969,"08Jan2019 17:34:53,000",,,
820732,17Nov1973,"08Jan2019 9:11:38,000",,,
820744,20Nov1988,"08Jan2019 5:46:32,000",,,
820749,03Jul1997,"08Jan2019 16:47:30,000",1156636508,10Jan2019,3000
820749,03Jul1997,"08Jan2019 16:47:30,000",1213569347,17Feb2019,2500
820749,03Jul1997,"08Jan2019 16:47:30,000",1281076696,27Mar2019,4500
820750,15Apr1982,"08Jan2019 9:21:41,000",1173255640,22Jan2019,2000
820750,15Apr1982,"08Jan2019 9:21:41,000",1238895619,04Mar2019,500
820753,02Jul1974,"08Jan2019 15:39:52,000",1188332920,01Feb2019,5000
820758,18Aug1967,"08Jan2019 11:21:37,000",1284865501,31Mar2019,1000
820758,18Aug1967,"08Jan2019 11:21:37,000",1296766813,06Apr2019,1000
820762,20Jan1986,"08Jan2019 15:36:33,000",,,
820766,29Apr1988,"08Jan2019 15:09:53,000",,,
820767,20Sep1979,"08Jan2019 11:11:37,000",1296541199,06Apr2019,500
820773,18May1986,"08Jan2019 9:51:37,000",,,
820787,01Nov1999,"09Jan2019 18:37:53,000",1159684469,14Jan2019,500
820793,17Oct1987,"09Jan2019 14:19:56,000",1189008350,02Feb2019,4500
820797,26Apr2000,"09Jan2019 15:40:07,000",1158662408,14Jan2019,500
820797,26Apr2000,"09Jan2019 15:40:07,000",1280199605,27Mar2019,5000
820801,17Apr1991,"09Jan2019 12:36:36,000",,,
820806,15Apr1967,"09Jan2019 13:25:28,000",1168842909,20Jan2019,2500
820811,06Oct1997,"09Jan2019 10:17:36,000",1193790204,05Feb2019,5000
820821,11Feb1985,"09Jan2019 11:49:55,000",,,
820822,13Aug1996,"09Jan2019 12:28:01,000",1180944391,29Jan2019,500
820822,13Aug1996,"09Jan2019 12:28:01,000",1193207816,05Feb2019,4000
820825,26Dec1970,"09Jan2019 9:49:57,000",1178204444,26Jan2019,4500
820830,26Jan1984,"09Jan2019 11:54:58,000",,,
820840,31May1996,"09Jan2019 15:31:14,000",1221004855,20Feb2019,3500
820840,31May1996,"09Jan2019 15:31:14,000",1265587128,20Mar2019,500
820848,03Oct1999,"09Jan2019 15:41:37,000",,,
820849,07Dec1971,"09Jan2019 12:19:34,000",,,
820880,09Jan1998,"10Jan2019 16:28:48,000",,,
820885,26Oct1993,"10Jan2019 12:51:14,000",1173114137,22Jan2019,4500
820893,24Jul1988,"10Jan2019 19:09:58,000",1225776541,25Feb2019,500
820893,24Jul1988,"10Jan2019 19:09:58,000",1268561414,21Mar2019,6000
820893,24Jul1988,"10Jan2019 19:09:58,000",1297468414,06Apr2019,3500
820912,28Mar1991,"10Jan2019 15:07:44,000",1175428303,24Jan2019,4500
820926,11Apr1987,"10Jan2019 12:10:02,000",1210630273,15Feb2019,500
820935,23Feb1988,"10Jan2019 15:35:02,000",1166740072,18Jan2019,3000
820940,19Aug1987,"10Jan2019 12:50:00,000",,,
820942,25Oct1994,"10Jan2019 15:36:39,000",,,
820944,23Jun1991,"10Jan2019 10:20:24,000",,,
820946,13Dec1999,"10Jan2019 17:39:45,000",1205040220,13Feb2019,1000
820946,13Dec1999,"10Jan2019 17:39:45,000",1238893496,04Mar2019,1500
820952,30Aug1991,"10Jan2019 12:05:24,000",1166659831,18Jan2019,5000
820952,30Aug1991,"10Jan2019 12:05:24,000",1264028167,18Mar2019,4500
820960,15Mar1987,"10Jan2019 13:57:09,000",,,
820964,09Oct1978,"10Jan2019 21:34:56,000",,,
820965,26Nov1999,"10Jan2019 13:26:50,000",1162989501,15Jan2019,4000
820967,28Dec1988,"10Jan2019 12:05:07,000",,,
820974,17Mar1976,"10Jan2019 20:11:39,000",,,
820977,26Jan1995,"10Jan2019 12:39:15,000",,,
820979,27Jul1997,"10Jan2019 12:43:20,000",1179738853,27Jan2019,2500
820992,21Aug1994,"10Jan2019 12:24:36,000",,,
820996,27Oct1972,"10Jan2019 22:31:38,000",,,
821016,09Jul1996,"10Jan2019 14:24:55,000",,,
821033,20Feb2000,"10Jan2019 12:21:43,000",,,
821037,26Apr2000,"10Jan2019 18:06:39,000",,,
821047,26Dec1990,"10Jan2019 12:30:02,000",1188314903,01Feb2019,3500
821068,07Jul1986,"10Jan2019 15:19:58,000",,,
821092,06Jan1994,"11Jan2019 15:41:40,000",,,
821106,18Oct1978,"11Jan2019 12:06:42,000",,,
821117,09Aug1985,"11Jan2019 13:44:59,000",,,
821120,23Oct1998,"11Jan2019 16:30:01,000",1204112743,11Feb2019,3000
821129,23Dec1985,"11Jan2019 15:23:59,000",,,
821134,04Feb1991,"11Jan2019 9:51:40,000",,,
821141,12Jun1990,"11Jan2019 10:27:30,000",1161856468,15Jan2019,2500
821152,10Jul2000,"11Jan2019 10:44:19,000",,,
821161,07Feb1987,"11Jan2019 18:44:59,000",,,
821169,28Jan1959,"11Jan2019 9:54:59,000",,,
821170,22Dec1994,"11Jan2019 22:34:57,000",1188011897,01Feb2019,500
821175,20Feb1998,"11Jan2019 11:36:41,000",,,
821178,16Aug1966,"11Jan2019 12:25:03,000",,,
821201,27Sep2000,"11Jan2019 15:13:43,000",1161102548,14Jan2019,3500
821201,27Sep2000,"11Jan2019 15:13:43,000",1211041843,15Feb2019,500
821201,27Sep2000,"11Jan2019 15:13:43,000",1281776518,29Mar2019,500
821205,01Oct1991,"11Jan2019 16:40:03,000",,,
821216,29Dec2000,"11Jan2019 15:12:19,000",1166834156,18Jan2019,3500
821216,29Dec2000,"11Jan2019 15:12:19,000",1209451821,14Feb2019,5500
821217,20Sep1987,"11Jan2019 20:40:00,000",,,
821234,25Oct1996,"12Jan2019 12:00:02,000",,,
821265,23Jun1980,"12Jan2019 18:31:41,000",1186370762,31Jan2019,3000
821265,23Jun1980,"12Jan2019 18:31:41,000",1240839537,04Mar2019,4500
821267,23Oct1993,"12Jan2019 11:59:52,000",,,
821277,02Aug1985,"12Jan2019 19:26:43,000",1186161487,30Jan2019,3500
821277,02Aug1985,"12Jan2019 19:26:43,000",1190761054,03Feb2019,3500
821281,09Aug1952,"12Jan2019 21:09:59,000",1281542050,28Mar2019,4500
821281,09Aug1952,"12Jan2019 21:09:59,000",1292951737,03Apr2019,4500
821302,10Oct1983,"13Jan2019 8:10:05,000",,,
821333,15Aug1981,"13Jan2019 8:15:06,000",1163784340,17Jan2019,500
821333,15Aug1981,"13Jan2019 8:15:06,000",1220190543,20Feb2019,4000
821333,15Aug1981,"13Jan2019 8:15:06,000",1277852597,27Mar2019,500
821335,24Jan1978,"13Jan2019 12:15:03,000",,,
821343,19Jun1958,"13Jan2019 8:10:06,000",,,
821372,28Jan1997,"14Jan2019 8:10:03,000",1193220771,05Feb2019,2000
821372,28Jan1997,"14Jan2019 8:10:03,000",1242310905,06Mar2019,500
821374,06Jan1960,"14Jan2019 7:56:46,000",,,
821375,01Oct1972,"14Jan2019 16:15:10,000",,,
821382,12Feb1974,"14Jan2019 17:10:05,000",,,
821394,09Jun1958,"14Jan2019 22:21:03,000",1172928092,22Jan2019,3000
821395,10Sep2000,"14Jan2019 9:54:10,000",,,
821400,06Jun1984,"14Jan2019 17:06:47,000",,,
821416,23Aug1994,"14Jan2019 13:20:53,000",1274762641,25Mar2019,4000
821433,18Apr1971,"14Jan2019 10:50:06,000",1205284274,12Feb2019,2000
821433,18Apr1971,"14Jan2019 10:50:06,000",1242174830,05Mar2019,4500
821444,21Jun1989,"14Jan2019 11:57:32,000",1191192218,04Feb2019,2500
821447,26Feb1996,"14Jan2019 16:13:04,000",,,
821450,12Jun1998,"14Jan2019 19:40:04,000",,,
821473,13Sep1995,"14Jan2019 18:20:07,000",,,
821482,10Feb1988,"14Jan2019 12:31:47,000",1197191296,06Feb2019,5500
821495,28Aug1992,"14Jan2019 17:40:35,000",1209947557,14Feb2019,4500
821522,20Feb1989,"14Jan2019 22:21:23,000",,,
821528,30Mar1999,"14Jan2019 22:20:24,000",1178416029,26Jan2019,4500
821528,30Mar1999,"14Jan2019 22:20:24,000",1208333274,13Feb2019,4500
821528,30Mar1999,"14Jan2019 22:20:24,000",1296955988,05Apr2019,4000
821529,18Mar1988,"14Jan2019 10:53:48,000",,,
821537,10Apr1989,"14Jan2019 9:58:43,000",1164225923,16Jan2019,2500
821551,02Nov1993,"14Jan2019 14:55:06,000",,,
821579,28Sep1968,"15Jan2019 9:45:12,000",,,
821587,06Aug1988,"15Jan2019 16:58:08,000",1174825777,23Jan2019,2500
821589,09May1999,"15Jan2019 10:48:43,000",,,
821600,01Oct1993,"15Jan2019 0:46:48,000",1213248923,18Feb2019,1500
821605,18Aug1988,"15Jan2019 10:45:07,000",,,
821613,10Apr1982,"15Jan2019 11:35:07,000",1198298573,07Feb2019,5000
821617,21Aug1964,"15Jan2019 17:31:52,000",1289238305,02Apr2019,1500
821620,05Jul1993,"15Jan2019 13:28:36,000",,,
821624,09Nov1997,"15Jan2019 14:38:55,000",1187775488,31Jan2019,4500
821624,09Nov1997,"15Jan2019 14:38:55,000",1234263543,28Feb2019,4000
821628,17May1986,"15Jan2019 13:36:50,000",,,
821633,18Dec1980,"15Jan2019 15:36:50,000",,,
821643,14Jul1994,"15Jan2019 13:45:09,000",,,
821655,03May1992,"15Jan2019 21:00:07,000",1283976039,29Mar2019,3000
821656,01Oct1999,"15Jan2019 19:10:07,000",1188141328,01Feb2019,5500
821676,25May1985,"15Jan2019 20:05:11,000",1240473876,04Mar2019,3500
821677,25Dec1989,"15Jan2019 20:15:08,000",,,
821681,04May1995,"15Jan2019 13:50:07,000",,,
821684,12Feb1997,"15Jan2019 13:33:42,000",,,
821690,06Apr1993,"15Jan2019 11:45:30,000",,,
821691,20May2000,"15Jan2019 14:00:28,000",1222202348,21Feb2019,4500
821691,20May2000,"15Jan2019 14:00:28,000",1263760839,19Mar2019,500
821693,24Mar1972,"15Jan2019 9:45:08,000",1186858089,31Jan2019,4000
821693,24Mar1972,"15Jan2019 9:45:08,000",1225252702,23Feb2019,6000
821697,02Feb1995,"15Jan2019 13:35:10,000",1186114023,30Jan2019,3000
821698,03Nov1987,"15Jan2019 17:10:46,000",,,
821709,22Nov1994,"15Jan2019 11:46:00,000",1199012792,08Feb2019,500
821712,06Mar1988,"15Jan2019 9:54:32,000",,,
821726,08Apr1998,"15Jan2019 14:55:06,000",,,
821728,07Jul1992,"15Jan2019 11:50:07,000",,,
821730,17Jul1996,"15Jan2019 11:52:29,000",,,
821733,04Sep1989,"15Jan2019 20:25:07,000",1199947918,08Feb2019,1500
821736,14Sep1984,"15Jan2019 11:44:50,000",1175900262,24Jan2019,4500
821736,14Sep1984,"15Jan2019 11:44:50,000",1227185123,25Feb2019,500
821740,02Jul1984,"15Jan2019 18:15:08,000",,,
821748,06Nov1975,"16Jan2019 19:30:28,000",1179678911,28Jan2019,1500
821751,22Aug1986,"16Jan2019 10:29:55,000",,,
821754,15Nov1978,"16Jan2019 14:25:10,000",,,
821767,21Apr1975,"16Jan2019 11:45:13,000",,,
821768,25Nov1999,"16Jan2019 19:29:54,000",1172347152,22Jan2019,4500
821768,25Nov1999,"16Jan2019 19:29:54,000",1200170801,08Feb2019,3000
821776,07Jun1997,"16Jan2019 17:28:09,000",1222876688,21Feb2019,3000
821778,12Oct1983,"16Jan2019 17:39:28,000",,,
821787,20Nov1996,"16Jan2019 19:31:48,000",1187096013,31Jan2019,4500
821787,20Nov1996,"16Jan2019 19:31:48,000",1199151221,08Feb2019,1500
821790,27Oct1996,"16Jan2019 15:39:30,000",,,
821791,08Jun1995,"16Jan2019 11:52:54,000",1163629231,16Jan2019,2000
